,Topic_0,Topic_1,Topic_2,Topic_3,Dominant_Topic_NMF
2016-01-18-times-1-9-4.txt,0.9999360384687466,6.39615312533779e-05,0.0,0.0,0
2016-01-18-times-1-9-5.txt,0.9999360384687466,6.39615312533779e-05,0.0,0.0,0
2010-05-7-times-1-9-1.txt,0.0,0.9522572248624974,0.0,0.04774277513750263,1
2012-05-2-times-1-9-8.txt,0.0,1.0,0.0,0.0,1
2014-11-20-times-1-9-9.txt,0.031251173242346095,0.5425247493244254,0.4262240774332284,0.0,1
2006-02-27-times-1-9-2.txt,0.013958949820026644,0.28431566693392385,0.7017253832460496,0.0,2
2009-08-12-times-1-9-7.txt,0.12229592158634987,0.0,0.8777040784136501,0.0,2
2015-10-31-times-1-9-6.txt,0.0,0.0,0.9445518907482755,0.05544810925172451,2
2017-09-27-times-1-9-3.txt,0.0,0.0,0.0,1.0,3
