,2006-02-27-times-1-9-2.txt,2009-08-12-times-1-9-7.txt,2010-05-7-times-1-9-1.txt,2012-05-2-times-1-9-8.txt,2014-11-20-times-1-9-9.txt,2015-10-31-times-1-9-6.txt,2016-01-18-times-1-9-4.txt,2016-01-18-times-1-9-5.txt,2017-09-27-times-1-9-3.txt
2006-02-27-times-1-9-2.txt,,0.8834514265914188,,,0.752075240671645,0.9036263257970677,,,
2009-08-12-times-1-9-7.txt,0.8834514265914188,,,,,0.9852226269400329,,,
2010-05-7-times-1-9-1.txt,,,,0.99884651762393,,,,,
2012-05-2-times-1-9-8.txt,,,0.99884651762393,,0.7089920116057764,,,,
2014-11-20-times-1-9-9.txt,0.752075240671645,,,0.7089920116057764,,,,,
2015-10-31-times-1-9-6.txt,0.9036263257970677,0.9852226269400329,,,,,,,
2016-01-18-times-1-9-4.txt,,,,,,,,,
2016-01-18-times-1-9-5.txt,,,,,,,,,
2017-09-27-times-1-9-3.txt,,,,,,,,,
